                            -----Size(MB)----- ----Ports----             
 Id CagePos Type RPM State      Total     Free A      B      Capacity(GB)
358 3:5:2   FC    15 normal    559104    84992 0:3:4* 1:3:4           600
359 3:5:3   FC    15 normal    559104    86016 0:3:4  1:3:4*          600
360 4:5:0   FC    15 normal    559104    84992 0:6:1* 1:6:1           600
361 4:5:1   FC    15 normal    559104    84992 0:6:1  1:6:1*          600
362 4:5:2   FC    15 normal    559104    84992 0:6:1* 1:6:1           600
363 4:5:3   FC    15 normal    559104    86016 0:6:1  1:6:1*          600
364 5:5:0   FC    15 normal    559104    83968 0:6:2* 1:6:2           600
365 5:5:1   FC    15 normal    559104    86016 0:6:2  1:6:2*          600
366 5:5:2   FC    15 normal    559104    84992 0:6:2* 1:6:2           600
367 5:5:3   FC    15 normal    559104    86016 0:6:2  1:6:2*          600
368 6:5:0   FC    15 normal    559104    84992 0:6:3* 1:6:3           600
369 6:5:1   FC    15 normal    559104    86016 0:6:3  1:6:3*          600
370 6:5:2   FC    15 normal    559104    81920 0:6:3* 1:6:3           600
371 6:5:3   FC    15 normal    559104    84992 0:6:3  1:6:3*          600
372 7:5:0   FC    15 normal    559104    81920 0:6:4* 1:6:4           600
374 7:5:2   FC    15 normal    559104    82944 0:6:4* 1:6:4           600
375 7:5:3   FC    15 normal    559104    84992 0:6:4  1:6:4*          600
376 10:0:0  FC    10 normal    417792    79872 2:6:3* 3:6:3           450
377 10:0:1  FC    10 normal    417792    79872 2:6:3  3:6:3*          450
378 10:0:2  FC    10 normal    417792    78848 2:6:3* 3:6:3           450
379 10:0:3  FC    10 normal    417792    80896 2:6:3  3:6:3*          450
380 10:9:0  FC    15 normal    559104    77824 2:6:3* 3:6:3           600
381 10:9:1  FC    15 normal    559104    79872 2:6:3  3:6:3*          600
382 10:9:2  FC    15 normal    559104    80896 2:6:3* 3:6:3           600
383 10:9:3  FC    15 normal    559104    80896 2:6:3  3:6:3*          600
384 11:0:0  FC    10 normal    417792    12288 2:3:1* 3:3:1           450
385 12:2:0  FC    10 normal    417792    13312 2:3:2* 3:3:2           450
386 11:0:2  FC    10 normal    417792    13312 2:3:1* 3:3:1           450
387 11:0:1  FC    10 normal    417792    14336 2:3:1  3:3:1*          450
388 11:1:0  FC    15 normal    559104    73728 2:3:1* 3:3:1           600
389 11:1:1  FC    15 normal    559104    75776 2:3:1  3:3:1*          600
390 11:1:2  FC    15 normal    559104    73728 2:3:1* 3:3:1           600
391 11:1:3  FC    15 normal    559104    76800 2:3:1  3:3:1*          600
392 11:9:0  FC    15 normal    559104    76800 2:3:1* 3:3:1           600
393 11:9:1  FC    15 normal    559104    79872 2:3:1  3:3:1*          600
394 11:9:2  FC    15 normal    559104    78848 2:3:1* 3:3:1           600
395 11:9:3  FC    15 normal    559104    74752 2:3:1  3:3:1*          600
396 12:0:0  FC    10 normal    417792    13312 2:3:2* 3:3:2           450
397 12:0:1  FC    10 normal    417792    10240 2:3:2  3:3:2*          450
398 14:9:1  FC    15 normal    559104    79872 2:3:4  3:3:4*          600
399 12:0:3  FC    10 normal    417792    14336 2:3:2  3:3:2*          450
400 12:1:0  FC    15 normal    559104    79872 2:3:2* 3:3:2           600
401 12:1:1  FC    15 normal    559104    80896 2:3:2  3:3:2*          600
402 12:1:2  FC    15 normal    559104    71680 2:3:2* 3:3:2           600
403 12:1:3  FC    15 normal    559104    74752 2:3:2  3:3:2*          600
404 12:9:0  FC    15 normal    559104    73728 2:3:2* 3:3:2           600
405 12:9:1  FC    15 normal    559104    76800 2:3:2  3:3:2*          600
406 12:9:2  FC    15 normal    559104    73728 2:3:2* 3:3:2           600
407 12:9:3  FC    15 normal    559104    76800 2:3:2  3:3:2*          600
408 13:0:0  FC    10 normal    417792    78848 2:6:4* 3:6:4           450
409 13:0:1  FC    10 normal    417792    79872 2:6:4  3:6:4*          450
410 13:0:2  FC    10 normal    417792    79872 2:6:4* 3:6:4           450
411 13:0:3  FC    10 normal    417792    80896 2:6:4  3:6:4*          450
412 7:5:1   FC    15 normal    559104    86016 0:6:4  1:6:4*          600
413 13:9:1  FC    15 normal    559104    78848 2:6:4  3:6:4*          600
414 13:9:2  FC    15 normal    559104    76800 2:6:4* 3:6:4           600
415 13:9:3  FC    15 normal    559104    77824 2:6:4  3:6:4*          600
